tier,name,gemReward,pointsReward,ruby,sapphire,diamond,emerald,onyx
3,Card01,Blue,5,0,0,3,0,7
3,Card02,Red,4,3,6,3,0,0
3,Card03,White,3,5,3,3,3,0
3,Card04,Red,5,3,7,0,0,0
3,Card05,Blue,4,0,0,3,3,6
3,Card06,Green,3,3,0,3,3,5
3,Card07,Blue,3,3,3,0,5,3
3,Card08,Green,4,0,0,7,0,0
3,Card09,Black,4,7,0,0,0,0
3,Card10,Black,4,6,3,0,3,0
3,Card11,Green,4,0,3,6,0,3
3,Card12,Green,5,0,3,7,0,0
3,Card13,White,5,0,0,0,7,3
3,Card14,Black,5,7,0,0,3,0
3,Card15,Red,4,0,7,0,0,0
3,Card16,Blue,4,0,0,0,0,7
3,Card17,Red,3,0,3,5,3,3
3,Card18,White,4,3,0,0,6,3
3,Card19,Black,3,3,5,3,0,3
3,Card20,White,4,0,0,0,7,0
